c [mM],best recog (Mg),best recog (Ca),MC 98% recog lo (Mg),MC 98% recog hi (Mg),MC 98% recog lo (Ca),MC 98% recog hi (Ca)
3.8018939632056115,-0.3476346156071095,-0.4358622157369485,-0.4136489434427098,-0.2816202877715092,-0.48194147564648937,-0.38978295582740763
3.9810717055349722,-0.3509791899813086,-0.440309359435056,-0.4181988287568632,-0.283759551205754,-0.4874892479325462,-0.3931294709375658
4.168693834703354,-0.3543944334530522,-0.44481553529508044,-0.42287375135287425,-0.2859151155532302,-0.4931344912898738,-0.3964965793002871
4.36515832240166,-0.35787806941296996,-0.44937544996164025,-0.42767341424109595,-0.28808272458484396,-0.49884770895786795,-0.39990319096541255
4.570881896148751,-0.3614274951250689,-0.4539834247897172,-0.43259720061254825,-0.2902577896375895,-0.5045381782385419,-0.40342867134089255
4.786300923226384,-0.3650397752346919,-0.45863340916004525,-0.4376441583618346,-0.29243539210754915,-0.5102997819825102,-0.4069670363375802
5.011872336272724,-0.368711637421832,-0.46331899770663654,-0.4428129858026313,-0.2946102890410327,-0.5162498697210076,-0.41038812569226546
5.248074602497725,-0.3724394704312921,-0.4680334515178268,-0.448102018803226,-0.29677692205935824,-0.5223073857448484,-0.41375951729080523
5.495408738576245,-0.3762193246987131,-0.47276972331590095,-0.4535092195708873,-0.2989294298265389,-0.5284337268861465,-0.4171057197456554
5.7543993733715695,-0.3800469157736446,-0.4775204865593805,-0.4590321673116179,-0.30106166423567127,-0.5346234765056821,-0.42041749661307887
6.025595860743578,-0.38391763071746077,-0.48227816834753234,-0.464668050985404,-0.30316721044951755,-0.5408697717945635,-0.42368656490050116
6.309573444801933,-0.387826537624818,-0.48703498593988837,-0.4704136643665864,-0.3052394108830496,-0.5471653948859757,-0.426904576993801
6.606934480075961,-0.39176839838270805,-0.4917829866357435,-0.47626540360385117,-0.30727139316156493,-0.553502846179274,-0.430063127092213
6.918309709189364,-0.395737684741273,-0.49651409069172203,-0.4822192674547382,-0.30925610202780784,-0.5596799071593741,-0.43334827422406996
7.244359600749901,-0.3997285977256908,-0.5012201368908791,-0.48827086034552536,-0.31118633510585625,-0.5657666240757119,-0.4366736497060462
7.5857757502918375,-0.40373509036930155,-0.5058929303162536,-0.49441539837880477,-0.31305478235979833,-0.5720888776383635,-0.43969698299414367
7.943282347242816,-0.40775089369565976,-0.510524291827231,-0.5006477183786247,-0.31485406901269486,-0.578378421698106,-0.44267016195635595
8.31763771102671,-0.41176954582205294,-0.5151061086898299,-0.5069622900267704,-0.3165768016173355,-0.5845413921164713,-0.44567082526318846
8.709635899560807,-0.41578442400058435,-0.5196303857739126,-0.5133532311044909,-0.31821561689667777,-0.5906765514769754,-0.44858422007084986
9.120108393559097,-0.4197887793563879,-0.5240892967024569,-0.5198143258121428,-0.319763232900633,-0.5967758443082052,-0.4514027490967085
9.549925860214358,-0.4237757740271668,-0.5284752343216517,-0.5263390460956745,-0.32121250195865914,-0.6030046839992746,-0.4539457846440287
